CategoryId,CategoryName,Clevel,ParentId,ParentName,Trees,StylePos
50015678,茶几,3,50015566,二手/闲着专区,家装家饰→住宅家具→二手/闲着专区→茶几,NULL
50015679,成套家具,3,50015566,二手/闲着专区,家装家饰→住宅家具→二手/闲着专区→成套家具,NULL
50015680,其他二手/闲置,3,50015566,二手/闲着专区,家装家饰→住宅家具→二手/闲着专区→其他二手/闲置,NULL
50015568,家具辅料,2,50008164,住宅家具,家装家饰→住宅家具→家具辅料,NULL
50015570,海绵,3,50015568,家具辅料,家装家饰→住宅家具→家具辅料→海绵,NULL
50015571,玻璃,3,50015568,家具辅料,家装家饰→住宅家具→家具辅料→玻璃,NULL
50015572,家具纸,3,50015568,家具辅料,家装家饰→住宅家具→家具辅料→家具纸,NULL
50015573,布艺,3,50015568,家具辅料,家装家饰→住宅家具→家具辅料→布艺,NULL
50015574,皮革,3,50015568,家具辅料,家装家饰→住宅家具→家具辅料→皮革,NULL
50015576,亚克力,3,50015568,家具辅料,家装家饰→住宅家具→家具辅料→亚克力,NULL
50015671,其他家具配件,3,50015568,家具辅料,家装家饰→住宅家具→家具辅料→其他家具配件,NULL
50015771,成套家具,2,50008164,住宅家具,家装家饰→住宅家具→成套家具,NULL
50001733,其他成套家具,3,50015771,成套家具,家装家饰→住宅家具→成套家具→其他成套家具,10
50015774,客厅成套家具,3,50015771,成套家具,家装家饰→住宅家具→成套家具→客厅成套家具,NULL
50005519,沙发+茶几,4,50015774,客厅成套家具,家装家饰→住宅家具→成套家具→客厅成套家具→沙发+茶几,6
50015783,茶几+电视柜,4,50015774,客厅成套家具,家装家饰→住宅家具→成套家具→客厅成套家具→茶几+电视柜,3
50015784,沙发+茶几+电视柜,4,50015774,客厅成套家具,家装家饰→住宅家具→成套家具→客厅成套家具→沙发+茶几+电视柜,4
50015785,沙发+茶几+电视柜+角几,4,50015774,客厅成套家具,家装家饰→住宅家具→成套家具→客厅成套家具→沙发+茶几+电视柜+角几,4
50015786,沙发+角几,4,50015774,客厅成套家具,家装家饰→住宅家具→成套家具→客厅成套家具→沙发+角几,4
50015775,餐厅成套家具,3,50015771,成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具,NULL
50001734,餐桌+餐椅,4,50015775,餐厅成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具→餐桌+餐椅,7
50015788,餐桌椅+餐边柜,4,50015775,餐厅成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具→餐桌椅+餐边柜,6
50015789,餐桌椅+酒柜,4,50015775,餐厅成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具→餐桌椅+酒柜,3
50015790,餐桌椅+餐车,4,50015775,餐厅成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具→餐桌椅+餐车,6
50015791,餐桌椅+餐边柜+酒柜,4,50015775,餐厅成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具→餐桌椅+餐边柜+酒柜,6
50015792,餐桌椅+酒柜+餐车,4,50015775,餐厅成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具→餐桌椅+酒柜+餐车,3
50015793,餐桌椅+餐边柜+餐车,4,50015775,餐厅成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具→餐桌椅+餐边柜+餐车,4
50015794,餐桌椅+餐边柜+酒柜+餐车,4,50015775,餐厅成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具→餐桌椅+餐边柜+酒柜+餐车,3
50015795,餐边柜+酒架,4,50015775,餐厅成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具→餐边柜+酒架,3
50015796,餐桌椅+酒架,4,50015775,餐厅成套家具,家装家饰→住宅家具→成套家具→餐厅成套家具→餐桌椅+酒架,3
50015776,卧室成套家具,3,50015771,成套家具,家装家饰→住宅家具→成套家具→卧室成套家具,NULL
50015801,单人床+床头柜+衣柜,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→单人床+床头柜+衣柜,5
50005522,梳妆台+梳妆凳,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→梳妆台+梳妆凳,7
50015798,单人床+床头柜,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→单人床+床头柜,6
50015799,双层床+写字桌,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→双层床+写字桌,4
50015800,双人床+床头柜+衣柜,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→双人床+床头柜+衣柜,3
50008287,双人床+床头柜,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→双人床+床头柜,7
50015802,双层床+写字桌+衣柜,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→双层床+写字桌+衣柜,3
50015803,双人床+床头柜+梳妆台,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→双人床+床头柜+梳妆台,3
50015804,单人床+床头柜+梳妆台,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→单人床+床头柜+梳妆台,5
50015805,双人床+床头柜+梳妆台+衣柜,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→双人床+床头柜+梳妆台+衣柜,6
50015806,单人床+床头柜+梳妆台+衣柜,4,50015776,卧室成套家具,家装家饰→住宅家具→成套家具→卧室成套家具→单人床+床头柜+梳妆台+衣柜,3
50015777,书房成套家具,3,50015771,成套家具,家装家饰→住宅家具→成套家具→书房成套家具,NULL
